Date,Timestamp,Phase,Heart_Rate_bpm,Breathing_Rate_bpm,Body_Temperature_C,Pressure_Index,Movement_Count,Sleep_Duration_hr,Deep_Sleep_pct,REM_Sleep_pct,Light_Sleep_pct,Sleep_Disturbances,Sleep_Quality_Score
2026-07-01,2026-07-01 22:30:00,Before,68.7,15.3,36.76,61.7,1,6.91,19.7,18.6,61.7,6,49.3
2026-07-01,2026-07-01 22:50:00,Before,65.4,15.9,36.12,32.5,2,5.95,14.5,13.6,71.9,4,54.9
2026-07-01,2026-07-01 23:10:00,Before,76.0,16.1,36.63,43.4,1,5.93,20.3,20.9,58.8,4,43.5
2026-07-01,2026-07-01 23:30:00,Before,66.4,14.7,36.6,45.9,4,6.38,19.6,20.5,59.9,5,49.3
2026-07-01,2026-07-01 23:50:00,Before,61.8,14.4,36.48,57.5,2,6.46,20.1,22.7,57.2,6,48.9
2026-07-01,2026-07-02 00:10:00,Before,64.8,13.2,36.87,46.4,5,6.02,20.4,22.4,57.2,7,48.9
2026-07-01,2026-07-02 00:30:00,Before,78.8,14.1,36.5,47.5,1,5.56,20.6,22.7,56.6,5,43.6
2026-07-01,2026-07-02 00:50:00,Before,61.8,14.3,36.79,46.1,6,6.01,17.3,22.9,59.8,4,48.7
2026-07-01,2026-07-02 01:10:00,Before,65.6,13.3,36.67,50.3,0,5.01,18.2,18.8,63.0,5,47.7
2026-07-01,2026-07-02 01:30:00,Before,66.4,15.8,36.09,39.5,4,6.83,17.2,27.4,55.4,5,55.8
2026-07-01,2026-07-02 01:50:00,Before,66.9,13.7,36.89,54.8,3,6.46,24.7,17.0,58.3,4,54.0
2026-07-01,2026-07-02 02:10:00,Before,65.2,13.2,36.62,38.4,3,6.41,14.3,19.0,66.7,6,41.4
2026-07-01,2026-07-02 02:30:00,Before,67.8,17.5,36.2,49.7,4,6.78,14.0,21.9,64.2,7,52.0
2026-07-01,2026-07-02 02:50:00,Before,70.0,15.8,36.3,57.4,2,6.8,21.1,17.5,61.4,6,54.9
2026-07-01,2026-07-02 03:10:00,Before,69.9,18.3,36.54,41.2,3,6.32,19.9,20.0,60.1,7,46.3
2026-07-01,2026-07-02 03:30:00,Before,76.5,16.4,36.39,38.4,4,6.42,16.6,22.2,61.2,4,58.5
2026-07-01,2026-07-02 03:50:00,Before,70.7,15.0,36.37,43.4,4,6.23,13.0,21.1,65.9,6,56.7
2026-07-01,2026-07-02 04:10:00,Before,70.7,13.4,36.37,52.6,9,6.43,14.3,19.3,66.4,4,53.7
2026-07-01,2026-07-02 04:30:00,Before,75.1,12.7,36.77,33.5,0,5.8,15.8,24.7,59.5,5,52.3
2026-07-01,2026-07-02 04:50:00,Before,62.6,19.1,37.06,60.3,4,6.57,14.2,19.7,66.1,6,56.9
2026-07-01,2026-07-02 05:10:00,Before,62.8,15.0,36.48,42.1,6,5.6,23.5,17.8,58.7,3,48.9
2026-07-01,2026-07-02 05:30:00,Before,73.6,15.5,36.37,36.3,4,6.15,22.0,15.7,62.3,7,47.3
2026-07-01,2026-07-02 05:50:00,Before,63.6,16.2,36.65,42.6,0,6.49,17.4,14.3,68.3,7,44.7
2026-07-01,2026-07-02 06:10:00,Before,74.4,16.5,36.62,52.0,2,6.15,18.0,18.1,63.9,5,46.8
2026-07-01,2026-07-02 06:30:00,Before,64.9,16.8,36.69,41.8,5,6.54,19.1,19.9,60.9,5,61.1
2026-07-02,2026-07-02 22:30:00,Before,64.9,16.3,36.55,46.0,4,6.69,15.2,22.8,62.0,5,59.0
2026-07-02,2026-07-02 22:50:00,Before,66.1,14.6,37.08,57.6,3,6.55,19.3,17.9,62.8,5,37.6
2026-07-02,2026-07-02 23:10:00,Before,73.2,15.0,36.8,53.5,1,6.81,15.5,20.6,63.9,6,58.2
2026-07-02,2026-07-02 23:30:00,Before,71.0,14.8,36.43,60.2,2,6.59,16.4,19.9,63.6,4,53.8
2026-07-02,2026-07-02 23:50:00,Before,66.0,16.0,36.39,52.7,4,6.89,17.2,23.0,59.8,6,52.8
2026-07-02,2026-07-03 00:10:00,Before,75.0,16.1,36.49,64.7,3,6.15,20.4,15.6,63.9,6,47.6
2026-07-02,2026-07-03 00:30:00,Before,62.3,17.0,36.15,30.8,7,6.36,19.5,19.6,60.9,5,49.3
2026-07-02,2026-07-03 00:50:00,Before,68.0,13.9,36.69,47.2,4,6.2,17.2,18.6,64.2,6,41.5
2026-07-02,2026-07-03 01:10:00,Before,66.5,15.7,36.73,54.4,2,5.69,17.8,26.1,56.0,5,58.8
2026-07-02,2026-07-03 01:30:00,Before,67.6,17.2,36.86,49.5,2,6.49,21.8,17.1,61.1,6,57.9
2026-07-02,2026-07-03 01:50:00,Before,60.8,13.7,36.09,45.6,6,6.52,16.9,22.4,60.7,5,40.5
